City,Street Address,Rate
Charlotte,W Martin Luther King Jr Bv,1.25
Charlotte,W 3rd St,1.25
Charlotte,E 3rd St,1.25
Charlotte,Elizabeth Av,1.25
Charlotte,Brevard St,1.25
Charlotte,E 6th St,1.25
Charlotte,E 5th St,1.25
Charlotte,W Martin Luther King Jr Bv,1.25
Charlotte,Travis Av,1.25
Charlotte,W 5th St,1.25
Charlotte,Phifer Av,1.25
Charlotte,W Trade St,1.25
Charlotte,W 5th St,1.25
Charlotte,S Church,1.25
Charlotte,E 4th St,1.25
Charlotte,E Park Av,1.25
Charlotte,Phifer Av,1.25
Charlotte,South Bv,1.25
Charlotte,W 9th St,1.25
Charlotte,E Park Av,1.25
Charlotte,N Tryon St,1.25
Charlotte,S Tryon St,1.25
Charlotte,E 5th St,1.25
Charlotte,W 5th St,1.25
Charlotte,S Davidson St,1.25
Charlotte,N Cedar St,1.25
Charlotte,S Davidson St,1.25
Charlotte,N Sycamore St,1.25
Charlotte,E Martin Luther King Jr Bv,1.25
Charlotte,N Church St,1.25
Charlotte,E Park Av,1.25
Charlotte,Elizabeth Av,1.25
Charlotte,E 3rd St,1.25
Charlotte,W Martin Luther King Jr Bv,1.25
Charlotte,South Bv,1.25
Charlotte,Elizabeth Av,1.25
Charlotte,E 6th St,1.25
Charlotte,Elizabeth Av,1.25
Charlotte,Wilkes Pl,1.25
Charlotte,Brevard St,1.25
Charlotte,E 6th St,1.25
Charlotte,N Cedar St,1.25
Charlotte,W Martin Luther King Jr Bv,1.25
Charlotte,E Park Av,1.25
Charlotte,N Brevard St,1.25
Charlotte,S Davidson St,1.25
Charlotte,S Poplar St,1.25
Charlotte,S Poplar St,1.25
Charlotte,S Davidson St,1.25
Charlotte,W Martin Luther King Jr Bv,1.25
Charlotte,N Tryon St,1.25
Charlotte,S Mint St,1.25
Charlotte,E 3rd St,1.25
Charlotte,E 5th St,1.25
Charlotte,W 5th St,1.25
Charlotte,South Bv,1.25
Charlotte,W Trade St,1.25
Charlotte,S Tryon St,1.25
Charlotte,S Tryon St,1.25
Charlotte,S Davidson St,1.25
Charlotte,S Tryon St,1.25
Charlotte,W 6th St,1.25
Charlotte,S Mint St,1.25
Charlotte,South Bv,1.25
Charlotte,E Martin Luther King Jr Bv,1.25
Charlotte,W Trade St,1.25
Charlotte,W Martin Luther King Jr Bv,1.25
Charlotte,W 5th St,1.25
Charlotte,N College St,1.25
Charlotte,S Mint St,1.25
Charlotte,N Church St,1.25
Charlotte,E 3rd St,1.25
Charlotte,S Davidson St,1.25
Charlotte,S Poplar St,1.25
Charlotte,S Brevard St,1.25
Charlotte,W 5th St,1.25
Charlotte,,1.25
Charlotte,S College St,1.25
Charlotte,W Trade St,1.25
Charlotte,Brevard St,1.25
Charlotte,W 6th St,1.25
Charlotte,Wilkes Pl,1.25
Charlotte,N Church St,1.25
Charlotte,S Poplar St,1.25
Charlotte,E 5th St,1.25
Charlotte,E 5th St,1.25
Charlotte,E 3rd St,1.25
Charlotte,E 3rd St,1.25
Charlotte,N Church St,1.25
Charlotte,N Tryon St,1.25
Charlotte,W 6th St,1.25
Charlotte,W 5th St,1.25
Charlotte,S Mint St,1.25
Charlotte,S Brevard St,1.25
Charlotte,E 4th St,1.25
Charlotte,N Tryon St,1.25
Charlotte,N Brevard St,1.25
Charlotte,E Martin Luther King Jr Bv,1.25
Charlotte,N College St,1.25
Charlotte,W 6th St,1.25
Charlotte,S Davidson St,1.25
Charlotte,E 3rd St,1.25
Charlotte,N Brevard St,1.25
Charlotte,N Tryon St,1.25
Charlotte,E 3rd St,1.25
Charlotte,N Cedar St,1.25
Charlotte,Elizabeth Av,1.25
Charlotte,E 3rd St,1.25
Charlotte,N Sycamore St,1.25
Charlotte,W Martin Luther King Jr Bv,1.25
Charlotte,N Tryon St,1.25
Charlotte,N College St,1.25
Charlotte,W 5th St,1.25
Charlotte,Travis Av,1.25
Charlotte,W 6th St,1.25
Charlotte,E 3rd St,1.25
Charlotte,N Tryon St,1.25
Charlotte,E Martin Luther King Jr Bv,1.25
Charlotte,S Tryon St,1.25
Charlotte,W 10th St,1.25
Charlotte,W 6th St,1.25
Charlotte,E 3rd St,1.25
Charlotte,N Tryon St,1.25
Charlotte,E 6th St,1.25
Charlotte,E Martin Luther King Jr Bv,1.25
Charlotte,E 3rd St,1.25
Charlotte,S Mint St,1.25
Charlotte,S Mint St,1.25
Charlotte,S Tryon St,1.25
Charlotte,E Martin Luther King Jr Bv,1.25
Charlotte,E 3rd St,1.25
Charlotte,N Brevard St,1.25
Charlotte,W Martin Luther King Jr Bv,1.25
Charlotte,N Brevard St,1.25
Charlotte,W Trade St,1.25
Charlotte,E 3rd St,1.25
Charlotte,E 3rd St,1.25
Charlotte,E 6th St,1.25
Charlotte,N Brevard St,1.25
Charlotte,W Trade St,1.25
Charlotte,E Martin Luther King Jr Bv,1.25
Charlotte,E 5th St,1.25
Charlotte,Brevard St,1.25
Charlotte,S Tryon St,1.25
Charlotte,W 10th St,1.25
Charlotte,S Brevard St,1.25
Charlotte,S Mint St,1.25
Charlotte,N Tryon St,1.25
Charlotte,N Tryon St,1.25
Charlotte,W 5th St,1.25
Charlotte,N Tryon St,1.25
Charlotte,Elizabeth Av,1.25
Charlotte,N Brevard St,1.25
Charlotte,S College St,1.25
Charlotte,W 5th St,1.25
Charlotte,N Sycamore St,1.25
Charlotte,N Tryon St,1.25
Charlotte,N Brevard St,1.25
Charlotte,E 6th St,1.25
Charlotte,S Brevard St,1.25
Charlotte,W 5th St,1.25
Charlotte,S Church St,1.25
Charlotte,Phifer Av,1.25
Charlotte,Elizabeth Av,1.25
Charlotte,E 6th St,1.25
Charlotte,E 3rd St,1.25
Charlotte,N Tryon St,1.25
Charlotte,S Tryon St,1.25
Charlotte,N Church St,1.25
Charlotte,E 5th St,1.25
Charlotte,N Cedar St,1.25
