City,Street Address,Rate
Los Angeles,700 VERMONT AVE,1.0
Los Angeles,801 S SANTEE ST,2.5
Los Angeles,1900 ZONAL AVE,1.0
Los Angeles,7100 N REMMET AVE,1.0
Los Angeles,1400 S MYRTLE ST,1.25
Los Angeles,600 CARONDELET ST,1.0
Los Angeles,1400 S ROBERTSON BLVD,1.0
Los Angeles,1500 S FEDERAL AVE,1.0
Los Angeles,651 ARDMORE AVE,1.0
Los Angeles,1400 N MARTEL AVE,1.0
Los Angeles,5700 W MELROSE AVE,1.0
Los Angeles,300 7TH ST,0.5
Los Angeles,600 E PICO BLVD,0.75
Los Angeles,1400 S HOPE ST,1.75
Los Angeles,101 AVENUE 55,1.0
Los Angeles,2800 PICO BLVD,1.0
Los Angeles,12001 S OHIO AVE,1.0
Los Angeles,1901 S WESTWOOD BLVD,1.0
Los Angeles,4400 BEVERLY BLVD,1.0
Los Angeles,201 E 12TH ST,1.75
Los Angeles,10768 W SANTA MONICA BLVD,1.0
Los Angeles,1100 N HIGHLAND AVE,1.0
Los Angeles,10585 W SANTA MONICA BLVD,1.0
Los Angeles,8200 W MELROSE AVE,1.0
Los Angeles,701 S MASSELIN AVE,1.0
Los Angeles,701 N NEW HAMPSHIRE AVE,2.5
Los Angeles,5100 MAYWOOD AVE,1.0
Los Angeles,801 N ALMA REAL DR,1.0
Los Angeles,1901 OLYMPIC BLVD,1.0
Los Angeles,14501 W FRIAR ST,1.0
Los Angeles,2101 8TH ST,1.0
Los Angeles,301 N FLORES ST,1.0
Los Angeles,7600 W BEVERLY BLVD,1.0
Los Angeles,901 S SAN JULIAN ST,0.5
Los Angeles,1701 N MCCADDEN PL,2.5
Los Angeles,14600 W VICTORY BLVD,1.0
Los Angeles,301 S LOS ANGELES ST,1.75
Los Angeles,650 WILSHIRE PL,1.0
Los Angeles,300 BREED ST,1.0
Los Angeles,900 S CROCKER ST,1.0
Los Angeles,12100 W PACIFIC AVE,1.0
Los Angeles,201 W 12TH ST,0.75
Los Angeles,14401 W VICTORY BLVD,0.75
Los Angeles,1000 E SWARTHMORE AVE,1.0
Los Angeles,800 S GRAND AVE,1.75
Los Angeles,1800 VERMONT AVE,1.0
Los Angeles,501 S LA BREA AVE,1.0
Los Angeles,100 S ALAMEDA ST,1.0
Los Angeles,11032 W SANTA MONICA BLVD,1.0
Los Angeles,1200 S SAN PEDRO ST,0.75
Los Angeles,2801 FIGUEROA ST,1.0
Los Angeles,100 N HOPE ST,1.75
Los Angeles,6300 W SELMA AVE,1.75
Los Angeles,3600 WILSHIRE BLVD,1.0
Los Angeles,300 6TH ST,0.75
Los Angeles,300 N LA BREA AVE,1.0
Los Angeles,1300 S WESTWOOD BLVD,1.0
Los Angeles,5000 YORK BLVD,1.0
Los Angeles,200 BREED ST,1.0
Los Angeles,300 N FREMONT AVE,0.5
Los Angeles,12201 W NORTH VENICE BLVD,1.0
Los Angeles,1300 KENMORE AVE,1.0
Los Angeles,601 MANHATTAN PL,1.0
Los Angeles,1600 S WESTWOOD BLVD,1.0
Los Angeles,14500 W GILMORE ST,0.75
Los Angeles,23 WASHINGTON BLVD,1.25
Los Angeles,2951 WILSHIRE BLVD,1.0
Los Angeles,900 E 12TH ST,1.25
Los Angeles,1001 83RD ST,1.0
Los Angeles,100 S SAN PEDRO ST,2.75
Los Angeles,1201 VERMONT AVE,1.0
Los Angeles,5801 W PICO BLVD,1.0
Los Angeles,500 W 7TH ST,4.5
Los Angeles,21401 W SHERMAN WAY,1.0
Los Angeles,700 BANNING ST,2.5
Los Angeles,1800 S WESTWOOD BLVD,1.0
Los Angeles,101 I ST,0.5
Los Angeles,601 W OLYMPIC BL,1.25
Los Angeles,1600 N KINGSLEY DR,1.0
Los Angeles,1501 N FULLER AVE,1.0
Los Angeles,101 S SAN PEDRO ST,3.0
Los Angeles,501 S LOS ANGELES ST,3.0
Los Angeles,300 N LA CIENEGA BLVD,1.0
Los Angeles,300 N LA BREA AVE,1.0
Los Angeles,400 WASHINGTON BLVD,0.75
Los Angeles,4400 BURNS AVE,1.0
Los Angeles,101 AVENUE 24,1.0
Los Angeles,301 E 15TH ST,0.5
Los Angeles,6301 W SELMA AVE,0.75
Los Angeles,21501 W SHERMAN WAY,1.0
Los Angeles,1801 S SAWTELLE BLVD,1.0
Los Angeles,3701 6TH ST,1.0
Los Angeles,400 N FAIRFAX AVE,1.0
Los Angeles,4350 3RD ST,1.0
Los Angeles,500 NELSON ST,0.5
Los Angeles,1700 S KELTON AVE,1.0
Los Angeles,1801 MARENGO ST,1.0
Los Angeles,14500 W HAYNES ST,0.5
Los Angeles,8301 W MELROSE AVE,1.0
Los Angeles,1800 S HOPE ST,0.5
Los Angeles,601 N SWEETZER AVE,1.0
Los Angeles,1600 N SCHRADER BLVD,1.25
Los Angeles,7601 W SUNSET BLVD,1.0
Los Angeles,2901 WILSHIRE BLVD,1.0
Los Angeles,14500 W VICTORY BLVD,0.75
Los Angeles,301 S ALAMEDA ST,0.5
Los Angeles,14400 W CALVERT ST,0.75
Los Angeles,500 S LA BREA AVE,1.0
Los Angeles,901 S STANFORD AVE,0.5
Los Angeles,801 S MAIN ST,3.5
Los Angeles,8201 W MELROSE AVE,1.0
Los Angeles,1501 S HOPE ST,1.75
Los Angeles,1500 SUNSET BLVD,1.0
Los Angeles,1000 S HOPE ST,1.25
Los Angeles,600 PACIFIC AVE,0.5
Los Angeles,2700 FIGUEROA ST,1.0
Los Angeles,3000 5TH ST,1.0
Los Angeles,100 E 8TH ST,4.5
Los Angeles,7400 W MELROSE AVE,1.0
Los Angeles,11900 W SANTA MONICA BLVD,1.0
Los Angeles,2901 WILSHIRE BLVD,1.0
Los Angeles,14500 W CALVERT ST,0.75
Los Angeles,1200 VERMONT AVE,1.0
Los Angeles,800 S SAN JULIAN ST,1.75
Los Angeles,1401 N WILCOX AVE,0.5
Los Angeles,700 3RD ST,2.5
Los Angeles,2100 WILSHIRE BLVD,1.0
Los Angeles,1400 S SEPULVEDA BLVD,1.0
Los Angeles,2401 CESAR E CHAVEZ AVE,1.0
Los Angeles,200 N DETROIT ST,1.0
Los Angeles,1800 S WESTWOOD BLVD,1.0
Los Angeles,901 E PICO BLVD,0.5
Los Angeles,6301 N VAN NUYS BLVD,0.75
Los Angeles,1200 S GRAND AVE,0.5
Los Angeles,900 AVALON BLVD,0.5
Los Angeles,1401 N COLE PL,0.5
Los Angeles,5700 W PICO BLVD,1.0
Los Angeles,8401 VERMONT AVE,1.0
Los Angeles,3801 7TH ST,1.0
Los Angeles,1000 S MAPLE AVE,3.25
Los Angeles,10901 W WEYBURN AVE,1.5
Los Angeles,1301 S SANTEE ST,1.0
Los Angeles,14500 W DELANO ST,0.75
Los Angeles,200 N LARCHMONT BLVD,1.0
Los Angeles,1901 WILSHIRE BLVD,1.0
Los Angeles,600 S LA BREA AVE,1.0
Los Angeles,6501 W SUNSET BLVD,0.75
Los Angeles,6701 N VAN NUYS BLVD,1.0
Los Angeles,1501 S PONTIUS AVE,1.0
Los Angeles,900 E 12TH ST,1.25
Los Angeles,101 S KILKEA DR,1.0
Los Angeles,601 S FAIRFAX AVE,1.0
Los Angeles,1101 N WESTERN AVE,1.0
Los Angeles,21500 W SHERMAN WAY,1.0
Los Angeles,200 S GRAND AVE,3.5
Los Angeles,601 BEAUDRY AVE,1.0
Los Angeles,900 S BROXTON AVE,1.25
Los Angeles,700 N LA BREA AVE,1.0
Los Angeles,3300 WILSHIRE BLVD,1.0
Los Angeles,701 AVALON BLVD,0.5
Los Angeles,2900 LOS FELIZ BLVD,1.0
Los Angeles,1130 JEFFERSON BLVD,1.0
Los Angeles,7901 W MELROSE AVE,1.0
Los Angeles,9800 W SOUTH VENICE BLVD,1.0
Los Angeles,1401 N CHEROKEE AVE,0.75
Los Angeles,800 N SWARTHMORE AVE,1.0
Los Angeles,400 N FAIRFAX AVE,1.0
Los Angeles,301 N FAIRFAX AVE,1.0
Los Angeles,4800 SUNSET BLVD,1.0
Los Angeles,201 N FREMONT AVE,1.0
Los Angeles,601 BERENDO ST,1.0
Los Angeles,1501 N STANLEY AVE,1.0
Los Angeles,201 7TH ST,0.5
Los Angeles,700 E 8TH ST,1.0
Los Angeles,3724 SUNSET BLVD,1.0
Los Angeles,1200 S SAN JULIAN ST,0.75
Los Angeles,298 MAIN ST,1.0
Los Angeles,2501 HYPERION AVE,1.0
Los Angeles,300 W 12TH ST,0.5
Los Angeles,12100 W SOUTH VENICE BLVD,1.0
Los Angeles,1200 S UNION DR,1.0
Los Angeles,1401 N COLE PL,0.5
Los Angeles,1600 S BUTLER AVE,1.0
Los Angeles,1601 PICO BLVD,1.0
Los Angeles,500 WASHINGTON BLVD,1.0
Los Angeles,9000 W OLIN ST,1.0
Los Angeles,6250 N VAN NUYS BLVD,0.75
Los Angeles,7200 W MELROSE AVE,1.0
Los Angeles,401 GRAND VIEW ST,1.0
Los Angeles,8401 W OAKWOOD AVE,1.0
Los Angeles,6000 W PICO BLVD,1.0
Los Angeles,1400 S HILL ST,0.5
Los Angeles,14501 W SYLVAN ST,0.75
Los Angeles,401 S GRAND AVE,4.0
Los Angeles,2000 CHARLOTTE ST,1.0
Los Angeles,5501 FIGUEROA ST,1.0
Los Angeles,851 W CESAR E CHAVEZ BLVD,0.5
Los Angeles,1100 S HOPE ST,1.25
Los Angeles,700 CORONADO ST,1.0
Los Angeles,2000 S BROADWAY,0.5
Los Angeles,700 S BURNSIDE AVE,1.0
Los Angeles,301 W PICO BLVD,0.5
Los Angeles,6400 N VESPER AVE,1.0
Los Angeles,2400 PICO BLVD,1.0
Los Angeles,1101 S GAYLEY AVE,1.25
Los Angeles,2801 S ROBERTSON BLVD,1.0
Los Angeles,2900 ROWENA AVE,1.0
Los Angeles,1001 S BROXTON AVE,1.25
Los Angeles,7901 W MELROSE AVE,1.0
Los Angeles,1601 S SEPULVEDA BLVD,1.0
Los Angeles,1801 PICO BLVD,1.0
Los Angeles,301 S FIGUEROA ST,4.5
Los Angeles,1801 OLYMPIC BLVD,1.0
Los Angeles,2001 SUNSET BLVD,1.0
Los Angeles,501 S SPRING ST,5.5
Los Angeles,100 W 12TH ST,0.75
Los Angeles,900 BEACON AVE,1.0
Los Angeles,1700 OLYMPIC BLVD,1.0
Los Angeles,5501 FIGUEROA ST,1.0
Los Angeles,900 S SAN PEDRO ST,0.5
Los Angeles,201 E 6TH ST,2.25
Los Angeles,201 E WINSTON ST,2.75
Los Angeles,1300 N LA BREA AVE,0.75
Los Angeles,1800 S HOPE ST,0.5
Los Angeles,201 W ALPINE ST,1.0
Los Angeles,700 S MERCHANT ST,0.5
Los Angeles,4200 3RD ST,1.0
Los Angeles,301 S ALAMEDA ST,0.5
Los Angeles,400 ALVARADO ST,1.0
Los Angeles,4500 W PICO BLVD,1.0
Los Angeles,2301 SICHEL ST,1.0
Los Angeles,8000 W BEVERLY BLVD,1.0
Los Angeles,900 HELIOTROPE DR,2.5
Los Angeles,700 N BROADWAY,1.25
Los Angeles,3601 BOYCE AVE,1.0
Los Angeles,4401 2ND ST,1.0
Los Angeles,1601 S SANTEE ST,0.5
Los Angeles,1200 E 8TH ST,0.5
Los Angeles,700 E 9TH ST,0.5
Los Angeles,10488 W SANTA MONICA BLVD,1.0
Los Angeles,301 S ALAMEDA ST,0.5
Los Angeles,651 ARDMORE AVE,1.0
Los Angeles,8300 W MELROSE AVE,1.0
Los Angeles,3401 VERMONT AVE,1.0
Los Angeles,3501 7TH ST,1.0
Los Angeles,1201 6TH ST,1.0
Los Angeles,301 E 4TH ST,2.75
Los Angeles,1200 WILSHIRE BLVD,1.0
Los Angeles,300 N SPAULDING AVE,1.0
Los Angeles,1500 S OLIVE ST,1.0
Los Angeles,300 E WINSTON ST,3.25
Los Angeles,1901 MARENGO ST,1.0
Los Angeles,300 S LOS ANGELES ST,3.25
Los Angeles,800 S SANTEE ST,3.0
Los Angeles,2000 S BROADWAY,0.5
Los Angeles,11500 W SANTA MONICA BLVD,1.0
Los Angeles,2500 HYPERION AVE,1.0
Los Angeles,620 JEFFERSON BLVD,1.0
Los Angeles,1401 N SIERRA BONITA AVE,1.0
Los Angeles,1501 S SAWTELLE BLVD,1.0
Los Angeles,7901 W 3RD ST,1.0
Los Angeles,4000 WILSHIRE BLVD,1.0
Los Angeles,801 S MAPLE AVE,3.5
Los Angeles,14501 W HAMLIN ST,0.75
Los Angeles,1201 S OLIVE ST,0.5
Los Angeles,501 S FAIRFAX AVE,1.0
Los Angeles,1101 N ORANGE DR,1.0
Los Angeles,6600 N VAN NUYS BLVD,1.0
Los Angeles,1300 LEMOYNE ST,1.0
Los Angeles,2200 S HILL ST,1.25
Los Angeles,701 S SAN JULIAN ST,3.25
Los Angeles,501 N HILL ST,0.5
Los Angeles,6350 W YUCCA ST,1.75
Los Angeles,101 S SWEETZER AVE,1.0
Los Angeles,100 VERMONT AVE,1.0
Los Angeles,6350 N VAN NUYS BLVD,1.0
Los Angeles,3000 PICO BLVD,1.0
Los Angeles,2100 COLORADO BLVD,1.0
Los Angeles,1001 S FAIRFAX AVE,1.0
Los Angeles,6300 W YUCCA ST,1.75
Los Angeles,7201 W BEVERLY BLVD,1.0
Los Angeles,900 S WESTWOOD BLVD,1.5
Los Angeles,1200 3RD ST,2.5
Los Angeles,3500 WILSHIRE BLVD,1.0
Los Angeles,1601 N SCHRADER BLVD,2.25
Los Angeles,10316 W SANTA MONICA BLVD,1.0
Los Angeles,700 S GRAND AVE,3.0
Los Angeles,1901 S FLOWER ST,1.0
Los Angeles,6350 N VAN NUYS BLVD,1.0
Los Angeles,900 W SUNSET BLVD,1.25
Los Angeles,1301 BURLINGTON AVE,1.0
Los Angeles,600 WESTERN AVE,1.0
Los Angeles,1200 CUMMINGS ST,1.0
Los Angeles,1201 MARIPOSA AVE,1.0
Los Angeles,1200 ALVARADO ST,1.0
Los Angeles,1700 N CHEROKEE AVE,2.5
Los Angeles,1300 SHATTO ST,2.5
Los Angeles,500 8TH ST,0.5
Los Angeles,800 S CECILIA ST,2.0
Los Angeles,1001 S SANTEE ST,3.0
Los Angeles,4601 LA MIRADA AVE,1.0
Los Angeles,300 E 2ND ST,1.75
Los Angeles,5300 S CRENSHAW BLVD,1.0
Los Angeles,8601 W PICO BLVD,1.0
Los Angeles,1700 S MIDVALE AVE,1.0
Los Angeles,1101 8TH ST,1.0
Los Angeles,101 N LA BREA AVE,1.0
Los Angeles,4001 3RD ST,1.0
Los Angeles,1100 S SANTEE ST,2.75
Los Angeles,400 WASHINGTON BLVD,0.75
Los Angeles,1100 N VINE ST,1.0
Los Angeles,2401 CESAR E CHAVEZ AVE,1.0
Los Angeles,1601 N CHEROKEE AVE,1.0
Los Angeles,1101 S CENTRAL AVE,0.5
Los Angeles,3801 INGRAHAM ST,1.0
Los Angeles,600 LA FAYETTE PK PL,1.0
Los Angeles,1400 N WILCOX AVE,0.5
Los Angeles,1631 S SAWTELLE BLVD,1.0
Los Angeles,5301 W HOLLYWOOD BLVD,1.0
Los Angeles,1101 S ROBERTSON BLVD,1.0
Los Angeles,4900 W HOLLYWOOD BLVD,1.0
Los Angeles,501 28TH ST,1.0
Los Angeles,1701 N WESTERN AVE,1.0
Los Angeles,2701 S ROBERTSON BLVD,1.0
Los Angeles,501 S CENTRAL AVE,0.5
Los Angeles,300 W 7TH ST,5.0
Los Angeles,700 N NEW HIGH ST,0.5
Los Angeles,700 S SAN PEDRO ST,1.0
Los Angeles,1401 N POINSETTIA PL,1.0
Los Angeles,5000 W PICO BLVD,1.0
Los Angeles,5401 W PICO BLVD,1.0
Los Angeles,600 ADAMS BLVD,1.0
Los Angeles,200 E WINSTON ST,3.5
Los Angeles,2701 6TH ST,1.0
Los Angeles,901 S TIVERTON AVE,1.0
Los Angeles,701 HARVARD BLVD,1.0
Los Angeles,1200 ALVARADO ST,1.0
Los Angeles,16601 W MARQUEZ AVE,1.0
Los Angeles,400 N LA BREA AVE,1.0
Los Angeles,901 E 12TH ST,1.25
Los Angeles,700 PACIFIC AVE,0.5
Los Angeles,801 S TOWNE AVE,1.25
Los Angeles,200 E 15TH ST,1.25
Los Angeles,101 N ROBERTSON BLVD,2.0
Los Angeles,2101 S BROADWAY,1.25
Los Angeles,701 E 12TH ST,1.0
Los Angeles,2201 WILSHIRE BLVD,1.0
Los Angeles,401 W 4TH ST,4.5
Los Angeles,10900 W LINDBROOK DR,1.25
Los Angeles,601 ALEXANDRIA AVE,1.0
Los Angeles,400 E 12TH ST,1.0
Los Angeles,6300 N VAN NUYS BLVD,0.75
Los Angeles,601 ARDMORE AVE,1.0
Los Angeles,5900 FIGUEROA ST,1.0
Los Angeles,200 N LARCHMONT BLVD,1.0
Los Angeles,6201 N VAN NUYS BLVD,1.0
Los Angeles,1301 HOBART BLVD,1.0
Los Angeles,1000 84TH PL,1.0
Los Angeles,301 ALVARADO ST,1.0
Los Angeles,10801 W HOLMAN AVE,1.0
Los Angeles,501 SHATTO PL,1.0
Los Angeles,1000 S FAIRFAX AVE,1.0
Los Angeles,3651 WILSHIRE BLVD,1.0
Los Angeles,701 S GENESEE AVE,1.0
Los Angeles,4701 HOLLYWOOD BLVD,1.0
Los Angeles,1301 S LOS ANGELES ST,0.75
Los Angeles,1101 S STANFORD AVE,1.25
Los Angeles,101 W 23RD ST,0.5
Los Angeles,8400 W MELROSE PL,1.0
Los Angeles,500 S CENTRAL AVE,0.5
Los Angeles,14400 W GILMORE ST,0.75
Los Angeles,2801 ROWENA AVE,1.0
Los Angeles,7700 W BEVERLY BLVD,1.0
Los Angeles,5001 W PICO BLVD,1.0
Los Angeles,3201 GLENDALE BLVD,1.0
Los Angeles,1901 ZONAL AVE,1.0
Los Angeles,5400 FIGUEROA ST,1.0
Los Angeles,301 7TH ST,0.5
Los Angeles,4301 SUNSET BLVD,1.0
Los Angeles,7101 W BEVERLY BLVD,1.0
Los Angeles,4001 FOUNTAIN AVE,1.0
Los Angeles,500 CARONDELET ST,1.0
Los Angeles,3751 W 7TH ST,2.5
Los Angeles,101 E 9TH ST,6.0
Los Angeles,3300 8TH ST,1.0
Los Angeles,1100 VERMONT AVE,1.0
Los Angeles,3401 7TH ST,1.0
Los Angeles,29 WINDWARD AVE,1.5
Los Angeles,1400 VERMONT AVE,1.0
Los Angeles,600 LA FAYETTE PK PL,1.0
Los Angeles,1000 S HILGARD AVE,0.5
Los Angeles,4300 3RD ST,1.0
Los Angeles,3650 VERMONT AVE,1.0
Los Angeles,701 N BROADWAY,2.25
Los Angeles,2000 HILLHURST AVE,1.0
Los Angeles,15301 W ANTIOCH ST,1.0
Los Angeles,501 N LARCHMONT BLVD,1.0
Los Angeles,15301 W ANTIOCH ST,1.0
Los Angeles,801 N YALE ST,0.5
Los Angeles,101 S LA BREA AVE,1.0
Los Angeles,15200 W LA CRUZ DR,1.0
Los Angeles,6500 W SANTA MONICA BLVD,0.5
Los Angeles,2801 JAMES M WOOD BLVD,1.0
Los Angeles,7501 W MELROSE AVE,1.0
Los Angeles,101 AVENUE 58,1.0
Los Angeles,1701 N CAHUENGA BLVD,1.5
Los Angeles,800 2ND ST,2.5
Los Angeles,401 CENTER ST,2.5
Los Angeles,6300 W WILSHIRE BLVD,1.0
Los Angeles,9001 W PICO BLVD,1.0
Los Angeles,1401 S BROCKTON AVE,1.0
Los Angeles,6200 W 98TH ST,1.0
Los Angeles,400 S WALL ST,1.75
Los Angeles,6301 N VAN NUYS BLVD,0.75
Los Angeles,2401 CESAR E CHAVEZ AVE,1.0
Los Angeles,201 W 3RD ST,3.5
Los Angeles,8301 W BEVERLY BLVD,1.0
Los Angeles,5701 W WILSHIRE BLVD,1.0
Los Angeles,501 MESA ST,0.5
Los Angeles,1100 S MAIN ST,1.25
Los Angeles,5401 W VIRGINIA AVE,1.0
Los Angeles,6501 W SELMA AVE,2.0
Los Angeles,900 HELIOTROPE DR,2.5
Los Angeles,401 N LA CIENEGA BLVD,1.0
Los Angeles,401 E PICO BLVD,1.5
Los Angeles,5300 W PICO BLVD,1.0
Los Angeles,1701 8TH ST,1.0
Los Angeles,1300 BURLINGTON AVE,1.0
Los Angeles,5601 W 2ND ST,1.0
Los Angeles,4301 S DEGNAN BLVD,1.0
Los Angeles,11700 S BARRINGTON CT,2.0
Los Angeles,3400 GLENDALE BLVD,1.0
Los Angeles,300 N SPAULDING AVE,1.0
Los Angeles,1100 S SANTEE ST,2.75
Los Angeles,600 S BROADWAY,5.0
Los Angeles,100 S SAN PEDRO ST,2.75
Los Angeles,500 33RD ST,1.0
Los Angeles,601 E PICO BLVD,0.5
Los Angeles,100 E 2ND ST,1.75
Los Angeles,1900 MARENGO ST,1.0
Los Angeles,1600 S PONTIUS AVE,1.0
Los Angeles,1500 S CORINTH AVE,1.0
Los Angeles,9801 S VICKSBURG AVE,1.0
Los Angeles,2001 JAMES M WOOD BLVD,1.0
Los Angeles,3700 S DUNN DR,1.0
Los Angeles,601 N STANLEY AVE,1.0
Los Angeles,301 E 1ST ST,2.0
Los Angeles,401 GAREY ST,2.5
Los Angeles,1201 JEFFERSON BLVD,1.0
Los Angeles,701 N SPRING ST,0.5
Los Angeles,4001 BEVERLY BLVD,1.0
Los Angeles,8000 W 3RD ST,1.0
Los Angeles,1300 S STANFORD AVE,1.25
Los Angeles,10400 W NATIONAL BLVD,1.0
Los Angeles,9200 W PICO BLVD,1.0
Los Angeles,4401 AVOCADO ST,1.0
Los Angeles,100 S EDINBURGH AVE,1.0
Los Angeles,2000 HYPERION AVE,1.0
Los Angeles,1301 S BROADWAY,0.5
Los Angeles,1301 S SANTEE ST,1.0
Los Angeles,1001 E 8TH ST,0.5
Los Angeles,1200 S SAN JULIAN ST,0.75
Los Angeles,101 E 17TH ST,0.5
Los Angeles,1501 8TH ST,1.0
Los Angeles,3700 S OCEAN VIEW AVE,1.0
Los Angeles,1500 N GOWER ST,1.25
Los Angeles,14400 W DELANO ST,0.75
Los Angeles,5600 W 2ND ST,1.0
Los Angeles,6101 W HOLLYWOOD BLVD,1.75
Los Angeles,11001 W MASSACHUSETTS AVE,1.0
Los Angeles,1901 HILLHURST AVE,1.0
Los Angeles,1101 S LAPEER DR,1.0
Los Angeles,5201 W MELROSE AVE,1.0
Los Angeles,100 E 12TH ST,1.0
Los Angeles,500 S BROADWAY,3.5
Los Angeles,100 AVENUE 59,1.0
Los Angeles,10801 W WEYBURN AVE,1.5
Los Angeles,501 S MAIN ST,3.0
Los Angeles,1601 N SCHRADER BLVD,2.25
Los Angeles,700 N NEW HIGH ST,0.5
Los Angeles,101 HEWITT ST,1.0
Los Angeles,4401 W PICO BLVD,1.0
Los Angeles,8800 W PICO BLVD,1.0
Los Angeles,5001 EAGLE ROCK BLVD,1.0
Los Angeles,600 N KILKEA DR,1.0
Los Angeles,501 N LA BREA AVE,1.0
Los Angeles,650 CATALINA ST,1.0
Los Angeles,801 ALVARADO ST,1.0
Los Angeles,5300 W ROMAINE ST,1.0
Los Angeles,7900 W MELROSE AVE,1.0
Los Angeles,201 7TH ST,0.5
Los Angeles,400 E 8TH ST,4.0
Los Angeles,1001 N WESTERN AVE,1.0
Los Angeles,651 ARDMORE AVE,1.0
Los Angeles,3201 VIA DOLCE,1.0
Los Angeles,601 E 15TH ST,0.5
Los Angeles,3801 3RD ST,1.0
Los Angeles,5001 W PICO BLVD,1.0
Los Angeles,700 S HILL ST,4.5
Los Angeles,3401 8TH ST,1.0
Los Angeles,2900 PICO BLVD,1.0
Los Angeles,2100 HILLHURST AVE,1.0
Los Angeles,1701 SUNSET BLVD,1.0
Los Angeles,1100 E 12TH ST,1.25
Los Angeles,1600 N WILCOX AVE,2.25
Los Angeles,1400 S LA CIENEGA BLVD,1.0
Los Angeles,1100 S ROBERTSON BLVD,1.0
Los Angeles,3600 3RD ST,1.0
Los Angeles,3400 8TH ST,1.0
Los Angeles,600 PARK VIEW ST,1.0
Los Angeles,5401 S CRENSHAW BLVD,1.0
Los Angeles,2000 S HILL ST,1.25
Los Angeles,6601 W SUNSET BLVD,0.5
Los Angeles,7501 W BEVERLY BLVD,1.0
