City,Street Address,Rate
New York City,New Dorp Plaza,1.625
New York City,New Dorp Lane,1.625
New York City,Clinton Street,3.0
New York City,Joralemon Street,3.0
New York City,Remsen Street,3.0
New York City,Livingston Street,3.0
New York City,Schermerhorn Street,3.0
New York City,Murray Street,6.0
New York City,Maiden Lane,4.5
New York City,Archer Street,1.625
New York City,White Plains Road,1.625
New York City,East 170 Street,1.625
New York City,3 Avenue,2.0
New York City,New Dorp Lane,1.625
New York City,New Dorp Plaza,1.625
New York City,Hylan Boulevard,1.625
New York City,New Dorp Lane,1.625
New York City,10 Street,1.625
New York City,Hylan Boulevard,1.625
New York City,New Dorp Lane,1.625
New York City,Mason Avenue,1.25
New York City,New Dorp Lane,1.625
New York City,New Dorp Lane,1.625
New York City,Guyon Avenue,1.625
New York City,New Dorp Lane,1.625
New York City,Hylan Boulevard,1.625
New York City,Hylan Boulevard,1.625
New York City,8 Street,1.625
New York City,Rose Avenue,1.625
New York City,Brower Court,1.625
New York City,William Street,0.0
New York City,Liberty Street,0.0
New York City,Mott Street,5.375
New York City,Pierrepont Street,3.0
New York City,Broad Street,6.0
New York City,Water Street,0.0
New York City,Old Slip,4.5
New York City,South Street,6.0
New York City,Bowery,0.0
New York City,Bayard Street,0.0
New York City,Mott Street,5.375
New York City,Pearl Street,0.0
New York City,Broad Street,0.0
New York City,Flatbush Avenue Extension,1.625
New York City,Whitehall Street,0.0
New York City,Pearl Street,0.0
New York City,Nassau Street,0.0
New York City,Broadway,0.0
New York City,Court Street,3.0
New York City,Market Street,5.375
New York City,East Broadway,5.375
New York City,Catherine Street,0.0
New York City,Gold Street,0.0
New York City,Court Street,3.0
New York City,Bridge Street,3.0
New York City,Duffield Street,3.0
New York City,William Street,0.0
New York City,Clark Street,3.0
New York City,Livingston Street,3.0
New York City,Catherine Street,0.0
New York City,South Street,0.0
New York City,Nassau Street,0.0
New York City,Remsen Street,3.0
New York City,Montague Street,3.0
New York City,Henry Street,3.0
New York City,Pine Street,0.0
New York City,William Street,0.0
New York City,Gold Street,6.0
New York City,Elm Street,3.0
New York City,Livingston Street,3.0
New York City,Exchange Place,0.0
New York City,Hanover Street,0.0
New York City,Clinton Street,3.0
New York City,Joralemon Street,3.0
New York City,East Broadway,5.375
New York City,Rutgers Street,5.375
New York City,Allen Street,5.375
New York City,Atlantic Avenue,3.0
New York City,Court Street,3.0
New York City,Dekalb Avenue,1.625
New York City,Willoughby Street,1.25
New York City,Beaver Street,0.0
New York City,Pearl Street,0.0
New York City,Water Street,0.0
New York City,Pearl Street,0.0
New York City,Tillary Street,2.0
