X,Y,OBJECTID,ADDRESS_BLOCK,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_ADDRESS,METER_NUMBER,SPACE_NUMBER,SPACE_TYPE,INSTALL_DATE,HOURLY_RATE,DAILY_RATE,RATE_INCREASE_DATE,ZONE_NAME,OP_HOURS,OP_DAYS,PAY_TYPE
-86.1595272890803,39.7714065911625,101840,0000,W,NEW YORK,ST,N,0000 W NEW YORK ST,,730,LOADING ZONE,2019/08/29 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.165224016385,39.7701574610388,101841,400,W,OHIO,ST,N,400 W OHIO ST,WO  000408,3072,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1632020754698,39.77148713666,101842,200,W,NEW YORK,ST,N,200 W NEW YORK ST,,3850,MULTI SPACE,2012/08/29 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
-86.1493107579613,39.774929804347,101843,500,,MASSACHUSETTS,AVE,,500 MASSACHUSETTS AV,,2940,MULTI SPACE,2019/03/13 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1637934641496,39.7733501190834,101844,400,,INDIANA,AVE,,400 INDIANA AV,IND 000428,8829,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1577825681919,39.7648766228754,101845,0000,E,CHESAPEAKE,ST,S,0000 E CHESAPEAKE ST,ECH 000007,5173,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1518164726372,39.7712257919789,101846,300,E,NEW YORK,ST,N,300 E NEW YORK ST,,1976,MULTI SPACE,2012/10/25 00:00:00+00,1.00,19.00,2012/01/02 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1625164732642,39.7727759704408,101847,200,W,VERMONT,ST,S,200 W VERMONT ST,WV  000209,3634,SINGLE SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,SINGLE
-86.1586038075241,39.7615325053031,101848,0000,W,SOUTH,ST,N,0000 W SOUTH ST,WS  000002,7500,ADA,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,SINGLE
-86.151490444488,39.7740278499355,101849,300,E,MICHIGAN,ST,N,300 E MICHIGAN ST,EM  000310,1444,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1462105698654,39.7681551047864,101850,600,E,MARKET,ST,S,600 E MARKET ST,,5703,SINGLE SPACE,2012/08/02 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,SINGLE
-86.1421939446415,39.8698059038117,101851,900,,BROAD RIPPLE,AVE,N,900 BROAD RIPPLE AV,BR  000916,366,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,04,0700-2300,MON-SAT,MULTI
-86.1514895072137,39.7731735233818,101852,400,,MASSACHUSETTS,AVE,,400 MASSACHUSETTS AV,MAS 000441,1770,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1524317186786,39.7751348722261,101853,500,N,ALABAMA,ST,W,500 N ALABAMA ST,NA  000532,8741,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2012/01/02 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1612746788306,39.781811269441,101854,1000,N,CAPITOL,AVE,W,1000 N CAPITOL AV,,9723,MULTI SPACE,2016/02/06 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1559851987014,39.7720684143875,101855,300,N,PENNSYLVANIA,ST,E,300 N PENNSYLVANIA ST,NP  000317,5597,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1521293477314,39.7729203518142,101856,400,,MASSACHUSETTS,AVE,,400 MASSACHUSETTS AV,MAS 000406,1702,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1499831260406,39.7690019369784,101857,400,E,WABASH,ST,S,400 E WABASH ST,EWB 000319,2839,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1518828841989,39.7712278975524,101858,300,E,NEW YORK,ST,N,300 E NEW YORK ST,,1975,MULTI SPACE,2012/10/25 00:00:00+00,1.00,19.00,2012/01/02 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1538405861172,39.7714656046342,101859,300,,MASSACHUSETTS,AVE,,300 MASSACHUSETTS AV,MAS 000305,1302,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1643720807409,39.7794126212435,101860,300,W,009TH,ST,N,300 W 009TH ST,,8563,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-1800,MON-FRI,MULTI
-86.1577642922565,39.778220283723,101861,800,N,MERIDIAN,ST,W,800 N MERIDIAN ST,NM  000804,2331,SINGLE SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,SINGLE
-86.1514805103482,39.7739125828571,101862,300,E,MICHIGAN,ST,S,300 E MICHIGAN ST,,1585,MULTI SPACE,2012/08/17 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1541976784992,39.7770251052254,101863,700,N,DELAWARE,ST,W,700 N DELAWARE ST,ND  000708,8703,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1608058521609,39.7755298132782,101864,100,W,NORTH,ST,S,100 W NORTH ST,WN  000107,6091,SINGLE SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,SINGLE
-86.1602649632807,39.769905046829,101865,100,W,OHIO,ST,S,100 W OHIO ST,,652,LOADING ZONE,2019/06/13 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
