X,Y,OBJECTID,SPACE_,STATUS,DMS_LAT,DMS_Long,WHOLESTNAME,SideOfStreet,Block,GlobalID
1448007.77023101,542575.360231012,3163,2238,Operational,,,W Martin Luther King Jr Bv,South,200,822e690f-eb11-45b5-b575-df0e53fdaa22
1448488.12960601,542655.233981013,3164,2251,Operational,,,W 3rd St,South,200,77c9e01f-9482-4d81-b1eb-d0bbbc8c2d7b
1450304.513356,540735.594606012,3165,303,Pay Station,35.2217682896873,-80.8406882920923,E 3rd St,North,500,33a67c14-ad84-405b-b6cf-7787526e75c2
1454178.85210601,537974.993981004,3166,,Operational,35.2143810305926,-80.8275476163723,Elizabeth Av,South,1500,fd9ec5e6-4996-4d77-858b-c53072b2f932
1449689.792731,541109.548981011,3167,,Operational,,,Brevard St,Right,300,c02f386c-8b91-4089-9052-0e4673e0afcf
1451668.88898101,541829.068356007,3168,,Operational,35.2248417033213,-80.8361883615619,E 6th St,North,500,31e5eb42-47e6-4507-99ab-9711a12d2ad9
1451336.81648101,541570.015231013,3169,346,Operational,35.2241131515157,-80.837284060472,E 5th St,North,500,636d1975-a6b5-4ed6-b9b4-afd861014c30
1448073.35835601,542545.963356003,3170,2220,Pay Station,,,W Martin Luther King Jr Bv,North,200,7ec94972-2bdd-49ff-8b38-fc1bf03ed368
1454527.49273101,537859.130231008,3171,,Operational,35.2140803576945,-80.8263734060992,Travis Av,West,200,63e34177-272f-42d9-8984-c33337dc6daf
1449769.622731,543202.292106003,3172,,Operational,35.2285175293434,-80.8426322949454,W 5th St,South,100,f0604998-3506-44e8-9c78-5e75372a4df9
1451606.55085601,544159.289606005,3173,090,Operational,35.2312401152436,-80.8365414104505,Phifer Av,South,100,c4a8c8b1-f14f-42df-8b4b-4d34636cb033
1447097.57960601,545302.178981006,3174,,Operational,35.2341497143499,-80.8517096213313,W Trade St,South,900,5d561439-135d-4e42-bfae-6fcbca9c1b67
