X,Y,OBJECTID,METER_NUMBER,METER_TYPE,RateTimeLimits,Status,HC_METER,BIKERACK,DUAL_HEAD,MOTORCYCLE_METER,COMMENTS,strSegmentID,AssetID,GlobalID,StreetAddress
653219.371,890415.165,1,001-15,SSCCM,$1.50/hr 5hr max 8A-10P Mon-Sun,Active,N,N,N,N,,,,{EB2A9623-6AF6-47CA-AB73-4A0908C31CDC},34 S 3RD ST
653219.7182,890392.1475,2,001-16,SSCCM,$1.50/hr 5hr max 8A-10P Mon-Sun,Active,N,N,N,N,,,,{422A9C3C-421B-48F1-8EB7-BCBF6BCD93AF},38 S 3RD ST
653219.371,890348.0225,4,001-18,SSCCM,$1.50/hr 5hr max 8A-10P Mon-Sun,Active,N,N,N,N,,,,{B45FF40E-3832-4093-94AE-CD2913BB486C},44 S 3RD ST
653219.0238,890325.699,5,001-19,SSCCM,$1.50/hr 5hr max 8A-10P Mon-Sun,Active,N,N,N,N,,,,{F878FC84-E428-421A-98D2-2BCE489D0F40},48 S 3RD ST
653219.0238,890303.8968,6,001-20,SSCCM,$1.50/hr 5hr max 8A-10P Mon-Sun,Active,N,N,N,N,,,,{EE70B934-6054-41B2-AAF6-AF8F540814E9},52 S 3RD ST
653219.0238,890281.7472,7,001-21,SSCCM,$1.50/hr 5hr max 8A-10P Mon-Sun,Active,N,N,N,N,,,,{08B4635F-E6F0-49A4-BA5B-3EC4CFE060B4},56 S 3RD ST
653219.371,890259.771,8,001-22,SSCCM,$1.50/hr 5hr max 8A-10P Mon-Sun,Active,N,N,N,N,,,,{D9B456EC-E75F-475A-8F5D-920DE0B8CC1D},60 S 3RD ST
653219.0238,890238.663,9,001-23,SSCCM,$1.50/hr 5hr max 8A-10P Mon-Sun,Active,N,N,N,N,,,,{FB86D042-A26E-47E4-9BCD-2E84F1AEF119},64 S 3RD ST
653218.6768,890216.504,10,001-24,SSCCM,$1.50/hr 5hr max 8A-10P Mon-Sun,Active,N,N,N,N,,,,{E2596DA7-3686-44AB-A94D-F1EA77D8F721},68 S 3RD ST
653219.371,890194.3607,11,001-25,SSCCM,$1.50/hr 5hr max 8A-10P Mon-Sun,Active,N,N,N,N,,,,{6122DFA6-0201-41A5-9195-D0A94FB91D97},72 S 3RD ST
653219.7182,890172.1498,12,001-26,SSCCM,$1.50/hr 5hr max 8A-10P Mon-Sun,Active,N,N,N,N,,,,{C00CEC7C-45D9-42EA-80B3-2D8536A34A33},76 S 3RD ST
653078.369,890077.0543,13,001-34,SSCCM,"$1.50/hr 2hr 8A-5P, 4HR 5P-10P",Active,N,N,N,N,,,,{34833169-DD00-4295-BED8-0F42F75636F9},254 E JEFFERSON ST
653057.5967,890085.778,14,001-35,SSCCM,"$1.50/hr 2hr 8A-5P, 4HR 5P-10P",Active,N,N,N,N,,,,{AA30C270-FC56-44BB-975E-5A8810459423},248 E JEFFERSON ST
653036.1555,890094.9452,15,001-36,SSCCM,"$1.50/hr 2hr 8A-5P, 4HR 5P-10P",Active,N,N,N,N,,,,{AF974FF2-C01D-4A9F-8E08-CD33A5EA06AC},242 E JEFFERSON ST
653014.867,890103.4232,16,001-37,SSCCM,"$1.50/hr 2hr 8A-5P, 4HR 5P-10P",Active,N,N,N,N,,,,{D6B4AB48-DDFC-45C1-8A3D-93ACF70A570C},236 E JEFFERSON ST
652505.032,896465.8768,17,1-Sep,SSDM,$1.00/hr 2hr 8A-10P Mon-Fri,Active,N,N,N,N,,,,{7F5D93E4-DC9C-44C3-9CEC-386771997FB7},1413 N 1ST ST
652508.372,896775.038,18,14-Sep,SSCCM,"$1.50/hr 2hr 8A-5P, 4HR 5P-10P",Active,N,N,N,N,,,,{97667490-C56B-4C16-8F40-1481F63209B3},1531 N 1ST ST
652508.1638,896774.6922,19,14-Sep,SSCCM,"$1.50/hr 2hr 8A-5P, 4HR 5P-10P",Active,N,N,N,N,,,,{4E265E75-6B12-4B42-9105-9C95E3BE4E4B},1531 N 1ST ST
652509.9158,896802.872,20,15-Sep,SSCCM,"$1.50/hr 2hr 8A-5P, 4HR 5P-10P",Active,N,N,N,N,,,,{337BA459-9A9D-4269-8F4F-D8D6DCA0FD96},1541 N 1ST ST
652425.102,896469.7298,21,18-Sep,SSDM,$1.00/hr 2hr 8A-10P Mon-Fri,Active,N,N,N,N,,,,{40C5EA11-5975-4F85-87AF-F886191772BC},1414 N 1ST ST
652425.3753,896450.3607,22,19-Sep,SSDM,$1.00/hr 2hr 8A-10P Mon-Fri,Active,N,N,N,N,,,,{E8A7CF8A-A871-4935-AB36-EC422CE84589},1406 N 1ST ST
652505.5888,896490.2163,23,2-Sep,SSDM,$1.00/hr 2hr 8A-10P Mon-Fri,Active,N,N,N,N,,,,{D0307EAE-1154-4728-A5F8-124913F34E88},1423 N 1ST ST
